,ax
420,5586.948733892055
421,5567.431120626861
422,5579.092669167145
423,5581.570767758604
424,5573.763899688808
425,5573.454360501575
426,5576.033255386433
427,5572.523048354586
428,5576.081531214741
429,5578.540307674052
430,5581.365031399704
431,5576.622926165019
432,5582.024566958234
433,5583.578429852607
434,5578.420470240355
435,5581.397392152608
436,5584.445091741681
437,5576.815438597891
438,5579.397230253981
439,5581.257739472997
440,5582.673066264455
441,5581.203859492621
442,5570.000516004782
443,5583.0577282114
444,5581.1965908897755
445,5580.465686311818
446,5579.785877030167
447,5577.8270705310115
448,5576.6927149051835
449,5582.122532082926
450,5576.65618090188
451,5574.441502543957
452,5574.322978802779
453,5574.341948894596
454,5569.768259655855
455,5568.927353448403
456,5569.701731259798
457,5573.386258987505
458,5576.199779655018
459,5581.017633283231
460,5568.7850936774375
461,5572.96071311529
462,5568.779970862098
463,5574.5498667493375
464,5570.579335539412
465,5569.909127176781
466,5573.989139945808
467,5572.502664781468
468,5576.912332697356
469,5574.099421729686
470,5568.558710052179
471,5572.520685447748
472,5572.645836190596
473,5575.985424988789
474,5572.4284106326895
475,5574.126840334185
476,5569.261733657048
477,5576.223410275914
478,5572.926013979356
479,5571.239061433602
480,5573.059512726207
481,5572.585542549566
482,5575.4167511005
483,5573.276230327953
484,5573.636534760791
485,5567.724645646573
486,5573.9453545383285
487,5573.782644862919
488,5579.130322326576
489,5572.562006703123
490,5568.194778061286
491,5576.474088857965
492,5575.427837634693
493,5575.839400836608
494,5574.04514788035
495,5577.60381354281
496,5574.972026272117
497,5568.454017642097
498,5574.596754731954
499,5573.359906197548
500,5576.397746253263
501,5573.591290971585
502,5569.987522282744
503,5579.055701478724
504,5576.147470323703
505,5578.651263995098
506,5571.222968592498
507,5577.486465496556
508,5577.490943733825
509,5574.00394103683
510,5577.601450331981
511,5575.041383749822
512,5583.610436262663
513,5575.1761466172875
514,5576.929553794929
515,5578.318699305471
516,5575.843018212531
517,5574.169369911989
518,5575.366241069425
519,5575.402676145361
520,5571.7761407943935
521,5575.968088124291
522,5572.28187415266
523,5577.79388020706
524,5578.649185023281
525,5582.399417536812
526,5580.02670431547
527,5576.151466290494
528,5575.678683882021
529,5571.633728034633
530,5578.009993849197
531,5572.051379968514
532,5574.910458694344
533,5568.0039212271395
534,5577.086243108588
535,5569.264434897143
536,5574.30736326379
537,5574.193334152759
538,5575.447328208037
539,5577.617676787724
540,5579.508910174106
541,5575.923572263335
542,5579.2191998691005
543,5577.329490093442
544,5572.5329731001875
545,5572.055558184517
546,5579.8195118457115
547,5574.366226916676
548,5568.914898097502
549,5567.552804327195
550,5574.423747594085
551,5578.998143603694
552,5578.571499901429
553,5573.61153640981
554,5570.391494164694
555,5577.747782431585
556,5576.134397981761
557,5575.121845474294
558,5570.548673998395
559,5575.627404347849
560,5575.828893118538
561,5575.964245300705
562,5572.329968709602
563,5577.025020276921
564,5576.4403153292715
565,5574.282124038754
566,5558.010379179938
567,5557.590575796663
568,5571.174782126608
569,5571.011240466021
570,5573.990879852718
571,5575.64840504249
572,5590.126026727731
573,5577.080226233925
574,5576.846296576292
575,5590.512182349777
576,5589.009552555056
577,5582.833468076868
578,5578.7532743507545
579,5573.416120340039
580,5567.726804812507
581,5540.041518935694
582,5562.873198184643
583,5566.213185333903
584,5580.7758739882975
585,5573.502166372011
586,5575.775379489677
587,5569.1456078789915
588,5570.762142822665
589,5577.172291417083
590,5570.064401969368
591,5573.907913967527
592,5571.959189392757
593,5569.80567489783
594,5572.358409740269
595,5571.641783958572
596,5566.244609255315
597,5567.924820337106
598,5571.485197716106
599,5564.459488387764
600,5570.499015833856
601,5572.4478086507415
602,5566.147303152713
603,5569.141191938013
604,5569.0822577763665
605,5569.169945027913
606,5568.1432011024735
607,5570.269051834638
608,5565.740976345909
609,5569.428873741858
610,5574.426340056664
611,5572.4291652765105
612,5570.5965359497595
613,5570.924463194486
614,5571.043801000649
615,5575.521540550524
616,5570.842333608824
617,5571.207688606814
618,5562.973368060469
619,5571.397418410272
620,5569.634950867393
621,5571.209706376441
622,5573.092385391355
623,5579.01824089894
624,5575.693394198628
625,5574.976812272552
626,5575.685980610302
627,5577.049635003604
628,5574.582175576845
629,5579.973226281019
630,5566.077400280715
631,5570.858755084335
632,5565.769042165261
633,5570.742173480802
634,5573.641423638257
635,5570.002383611914
636,5574.996729640853
637,5568.6661563247835
638,5534.399314569955
639,5539.341005578723
640,5549.835733973776
641,5555.906997334029
642,5577.380778040414
643,5549.4452921724105
644,5551.542667382032
645,5550.0343550603775
646,5553.782371044467
647,5547.695428946482
648,5559.245631265475
649,5558.705088931135
650,5557.930293284088
651,5549.243200275915
652,5567.335856643452
653,5554.885607879045
654,5561.786464433367
655,5568.38677156481
656,5562.637006747629
657,5568.876385870507
658,5569.927369998152
659,5570.847060000793
660,5571.662230243353
661,5564.738031821541
662,5566.968747484815
663,5566.178357189079
664,5567.144412181752
665,5573.204728607954
666,5561.887217855295
667,5569.448335399116
668,5569.660180790491
669,5561.770503793591
670,5558.682029878844
671,5561.463109092821
672,5564.105072179114
673,5561.003857570217
674,5567.227291856573
675,5561.424908726979
676,5563.822102550811
677,5563.382425281588
678,5566.731228701031
679,5563.758844995376
680,5563.3594409457
681,5567.422962062809
682,5562.560069810607
683,5567.331661004306
684,5563.720652277446
685,5561.448596299015
686,5565.628732580305
687,5562.849568097429
688,5572.157719138201
689,5558.240173906317
690,5564.990637055562
691,5568.327143721695
692,5541.999948500437
693,5539.291672972895
694,5543.326556086443
695,5552.500680470806
696,5575.129644890768
697,5558.465222353592
698,5571.260998163998
699,5565.867908893424
700,5585.338089299054
701,5565.7028269723305
702,5576.153005938042
703,5566.030215368576
704,5548.667284710469
705,5565.3772099227435
706,5561.193018714467
707,5565.680094370926
708,5563.6828327384555
709,5559.313227973889
710,5561.80144575655
711,5559.345519719435
712,5569.764832557016
713,5561.852996485615
714,5562.509450483243
715,5557.934309075624
716,5561.426976301488
717,5559.409058243171
718,5558.8021438452915
719,5562.755914404719
720,5557.335409813566
721,5562.789878052505
722,5556.32075445566
723,5561.249600537896
724,5541.43401655203
725,5564.969917954619
726,5578.335656026217
727,5577.551227099852
728,5566.708542389126
729,5569.9038876919
730,5568.068707068893
731,5573.80958346804
732,5569.078154934752
733,5559.93049309245
734,5563.629636867197
735,5582.460733056035
736,5583.786405231137
737,5581.489373516769
738,5573.262796157641
739,5574.892030920956
740,5575.013787805011
741,5561.082932124184
742,5558.522620072024
743,5553.533638470925
744,5558.434149601175
745,5545.113717882199
746,5543.981980222009
747,5543.840719528263
748,5543.092058125821
749,5543.290703773727
750,5545.692923503788
751,5561.949709649878
752,5548.2857487949295
753,5559.694144693658
754,5576.610363723709
755,5568.458183614289
756,5582.959946066097
757,5564.156353673919
758,5552.81777846586
759,5550.1550426263875
760,5550.9273269138375
761,5555.000669637451
762,5558.941673260049
763,5566.124984474338
764,5599.1178895293815
765,5589.295290405318
766,5571.790185577496
767,5568.892004819838
768,5571.6966146691175
769,5580.106340536324
770,5578.4336651182275
771,5576.286450632112
772,5567.606348066599
773,5566.6499751282745
774,5566.173929684654
775,5561.24583950423
776,5564.322513021368
777,5570.9963323968
778,5569.975328139763
779,5564.774200077518
780,5570.351246921318
781,5573.098368258969
782,5567.588422313337
783,5558.621650100594
